timestamp,device,ip,ifIndex,ifDescr,inOctets,outOctets,operStatus,sysUpTimeCentisecs
2025-11-24T16:26:16.675615,R1,192.168.10.1,4,Null0,0,0,1,2263289
2025-11-24T16:26:17.098130,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2226054
2025-11-24T16:26:17.098130,R2,192.168.20.1,2,GigabitEthernet0/0,2426499,2644201,1,2226054
2025-11-24T16:26:17.098130,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256320,1,2226054
2025-11-24T16:26:17.098130,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2226054
2025-11-24T16:26:17.098130,R2,192.168.20.1,5,Null0,0,0,1,2226054
2025-11-24T16:26:21.522728,R1,192.168.10.1,1,GigabitEthernet0/0,3415693,2709480,1,2263774
2025-11-24T16:26:21.522728,R1,192.168.10.1,2,GigabitEthernet0/1,5341290,5653902,1,2263774
2025-11-24T16:26:21.522728,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2263774
2025-11-24T16:26:21.522728,R1,192.168.10.1,4,Null0,0,0,1,2263774
2025-11-24T16:26:21.953852,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2226540
2025-11-24T16:26:21.953852,R2,192.168.20.1,2,GigabitEthernet0/0,2428668,2646551,1,2226540
2025-11-24T16:26:21.953852,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256380,1,2226540
2025-11-24T16:26:21.953852,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2226540
2025-11-24T16:26:21.953852,R2,192.168.20.1,5,Null0,0,0,1,2226540
2025-11-24T16:26:26.384183,R1,192.168.10.1,1,GigabitEthernet0/0,3417983,2711649,1,2264258
2025-11-24T16:26:26.384183,R1,192.168.10.1,2,GigabitEthernet0/1,5345328,5658117,1,2264258
2025-11-24T16:26:26.384183,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2264258
2025-11-24T16:26:26.384183,R1,192.168.10.1,4,Null0,0,0,1,2264258
2025-11-24T16:26:26.789350,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2227034
2025-11-24T16:26:26.789350,R2,192.168.20.1,2,GigabitEthernet0/0,2430837,2648841,1,2227034
2025-11-24T16:26:26.789350,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256380,1,2227034
2025-11-24T16:26:26.789350,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2227034
2025-11-24T16:26:26.789350,R2,192.168.20.1,5,Null0,0,0,1,2227034
2025-11-24T16:26:31.324411,R1,192.168.10.1,1,GigabitEthernet0/0,3420273,2713878,1,2264753
2025-11-24T16:26:31.324411,R1,192.168.10.1,2,GigabitEthernet0/1,5349318,5662392,1,2264753
2025-11-24T16:26:31.324411,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2264753
2025-11-24T16:26:31.324411,R1,192.168.10.1,4,Null0,0,0,1,2264753
2025-11-24T16:26:31.734341,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2227519
2025-11-24T16:26:31.734341,R2,192.168.20.1,2,GigabitEthernet0/0,2433006,2651191,1,2227519
2025-11-24T16:26:31.734341,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256811,1,2227519
2025-11-24T16:26:31.734341,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2227519
2025-11-24T16:26:31.734341,R2,192.168.20.1,5,Null0,0,0,1,2227519
2025-11-24T16:26:36.175275,R1,192.168.10.1,1,GigabitEthernet0/0,3422563,2716047,1,2265238
2025-11-24T16:26:36.175275,R1,192.168.10.1,2,GigabitEthernet0/1,5353308,5666607,1,2265238
2025-11-24T16:26:36.175275,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2265238
2025-11-24T16:26:36.175275,R1,192.168.10.1,4,Null0,0,0,1,2265238
2025-11-24T16:26:36.591704,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2228002
2025-11-24T16:26:36.591704,R2,192.168.20.1,2,GigabitEthernet0/0,2435175,2653481,1,2228002
2025-11-24T16:26:36.591704,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256811,1,2228002
2025-11-24T16:26:36.591704,R2,192.168.20.1,4,GigabitEthernet0/3,0,0,1,2228002
2025-11-24T16:26:36.591704,R2,192.168.20.1,5,Null0,0,0,1,2228002
2025-11-24T16:26:41.011483,R1,192.168.10.1,1,GigabitEthernet0/0,3424853,2718276,1,2265724
2025-11-24T16:26:41.011483,R1,192.168.10.1,2,GigabitEthernet0/1,5357298,5670882,1,2265724
2025-11-24T16:26:41.011483,R1,192.168.10.1,3,Backplane-GigabitEthernet0/3,0,0,1,2265724
2025-11-24T16:26:41.011483,R1,192.168.10.1,4,Null0,0,0,1,2265724
2025-11-24T16:26:41.460852,R2,192.168.20.1,1,Embedded-Service-Engine0/0,0,0,2,2228489
2025-11-24T16:26:41.460852,R2,192.168.20.1,2,GigabitEthernet0/0,2437344,2655831,1,2228489
2025-11-24T16:26:41.460852,R2,192.168.20.1,3,GigabitEthernet0/1,80734,256871,1,2228489
